"target_branch_id","paired_branch_id","mu","Lambda_target","Lambda_pair","gap_abs","gap_rel","sorted_position_target","sorted_position_pair","n_left_target","n_right_target","n_left_pair","n_right_pair"
"bending_desc_01","bending_desc_04","0.073749999999999996","4.8049890859407229","6.8297079414046955","2.0247188554639726","0.34804840224119427","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.074999999999999997","4.8085044529851189","6.8238355693368176","2.0153311163516987","0.34650484983835911","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.087499999999999994","4.8458340906583208","6.7646984271111128","1.918864336452792","0.33053855773041424","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.088749999999999996","4.8497725614664464","6.758764665659232","1.9089921041927855","0.32889451389827862","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.091249999999999998","4.8577545779187243","6.7468972044587776","1.8891426265400533","0.32558368177989661","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.09375","4.8658733915022454","6.7350347297105415","1.8691613382082961","0.32224396895109442","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.096250000000000002","4.8741251235894731","6.72318275216064","1.8490576285711668","0.31887704429017238","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.098750000000000004","4.8825057337658251","6.7113465016032023","1.8288407678373773","0.31548457418806597","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.10000000000000001","4.8867432751479134","6.7054357896246728","1.8186925144767594","0.31377923068900387","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.10125000000000001","4.8910115475175457","6.6995308082874709","1.8085192607699252","0.31206809918849826","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.10375","4.8996387911412134","6.6877402779131065","1.7881014867718932","0.30862915178933997","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.10625","4.9083836958918745","6.6759792791493933","1.7675955832575188","0.30516923322686579","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.10875","4.9172428581144469","6.6642519704111045","1.7470091122966576","0.301689745263923","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.11125","4.9262124542325481","6.6525622657755399","1.7263498115429918","0.29819214092832541","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.1125","4.9307376839338177","6.6467327413997328","1.7159950574659151","0.29643695806141118","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.11375","4.9352892393132173","6.6409139836643787","1.7056247443511614","0.29467774735772923","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.11625000000000001","4.9444696864785298","6.6293107854582205","1.6848410989796907","0.2911479275185786","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.11874999999999999","4.9537503699368512","6.6177561499899102","1.664005780053059","0.28760399990918228","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.12125","4.9631279206266452","6.6062535594674952","1.6431256388408499","0.2840472745527412","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.12375","4.972598929291669","6.5948063444260576","1.6222074151343886","0.28047904897396514","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.125","4.9773684396063844","6.5891045546058393","1.6117361149994549","0.2786910263493384","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.12625","4.9821600909504946","6.5834177971070291","1.6012577061565345","0.27690059617513346","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.12875","4.9918080900612667","6.5720911873312495","1.5802830972699828","0.27331318949819022","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.13125000000000001","5.0015395094775066","6.5608297441077115","1.5592902346302049","0.26971811752971059","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.13375000000000001","5.0113510970503334","6.5496366172331673","1.5382855201828338","0.26611662570703976","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.13625000000000001","5.0212392540727544","6.5385151099661591","1.5172758558934047","0.26251005135774824","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.13750000000000001","5.026211095633264","6.532982198721017","1.5067711030877531","0.26070523516960087","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.13875000000000001","5.0312008011652738","6.5274684260665197","1.4962676249012459","0.25889963550061545","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.14124999999999999","5.0412320904582506","6.5164998144930761","1.4752677240348255","0.25528671821896504","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.14374999999999999","5.0513295813831274","6.5056126660081759","1.4542830846250485","0.25167264030471681","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.14624999999999999","5.0614897574346944","6.4948103276403621","1.4333205702056677","0.24805873154104036","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.14874999999999999","5.0717088965948909","6.48409630684458","1.4123874102496892","0.24444638610372318","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.14999999999999999","5.0768393681495061","6.4787734998041584","1.4019341316546523","0.2426412424290422","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.15125","5.0819831159611564","6.4734741691244304","1.391491053163274","0.24083703809095386","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.15375","5.0923086492732379","6.4629476152607968","1.3706389659875589","0.2372321192381327","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.15625","5.1026813852870134","6.4525204693954175","1.349839084108404","0.23363314654021705","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.15875","5.1130970670710676","6.442196687056887","1.3290996199858194","0.2300416844895905","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.16125","5.1235515345571221","6.43198043712305","1.3084289025659279","0.22645931070461703","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.16250000000000001","5.1287918539638575","6.4269139806933397","1.2981221267294822","0.22467206162971548","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.16375000000000001","5.1340400918944091","6.4218760859430359","1.2878359940486268","0.22288773546462851","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.16625000000000001","5.1445582068019853","6.4118880928850723","1.2673298860830871","0.2193286505588497","2","3","1","2","2","2"
